shift_id,date,shift,nurse_id,nurse_name,role
SH-000001,2016-01-02,Day (07-19),RN-008,Leo Sharma,Charge Nurse
SH-000001,2016-01-02,Day (07-19),RN-009,Amara Bauer,Bedside Nurse
SH-000002,2016-01-02,Night (19-07),RN-015,Leo Adeyemi,Charge Nurse
SH-000002,2016-01-02,Night (19-07),RN-016,Ivan Adeyemi,Bedside Nurse
SH-000003,2016-01-03,Day (07-19),RN-004,Sara Adeyemi,Charge Nurse
SH-000003,2016-01-03,Day (07-19),RN-027,Maya Okafor,Bedside Nurse
SH-000004,2016-01-03,Night (19-07),RN-028,Kofi Mensah,Charge Nurse
SH-000004,2016-01-03,Night (19-07),RN-040,Hana Meyer,Bedside Nurse
SH-000005,2016-01-04,Day (07-19),RN-035,Maya Costa,Charge Nurse
SH-000005,2016-01-04,Day (07-19),RN-036,Ana Bauer,Bedside Nurse
SH-000006,2016-01-04,Night (19-07),RN-003,Tom Dubois,Charge Nurse
SH-000006,2016-01-04,Night (19-07),RN-039,Grace Dubois,Bedside Nurse
SH-000007,2016-01-05,Day (07-19),RN-038,Lena Rossi,Charge Nurse
SH-000007,2016-01-05,Day (07-19),RN-042,Priya Mensah,Bedside Nurse
SH-000008,2016-01-05,Night (19-07),RN-017,Sam Meyer,Charge Nurse
SH-000008,2016-01-05,Night (19-07),RN-033,Sam Adeyemi,Bedside Nurse
SH-000009,2016-01-06,Day (07-19),RN-040,Hana Meyer,Charge Nurse
SH-000009,2016-01-06,Day (07-19),RN-017,Sam Meyer,Bedside Nurse
SH-000010,2016-01-06,Night (19-07),RN-033,Sam Adeyemi,Charge Nurse
SH-000010,2016-01-06,Night (19-07),RN-002,Mei Mensah,Bedside Nurse
SH-000011,2016-01-07,Day (07-19),RN-026,Jack Silva,Charge Nurse
SH-000011,2016-01-07,Day (07-19),RN-017,Sam Meyer,Bedside Nurse
SH-000012,2016-01-07,Night (19-07),RN-031,Diego Khan,Charge Nurse
SH-000012,2016-01-07,Night (19-07),RN-005,Zara Sharma,Bedside Nurse
SH-000013,2016-01-08,Day (07-19),RN-036,Ana Bauer,Charge Nurse
SH-000013,2016-01-08,Day (07-19),RN-021,Ben Rossi,Bedside Nurse
SH-000014,2016-01-08,Night (19-07),RN-006,Mei Sharma,Charge Nurse
SH-000014,2016-01-08,Night (19-07),RN-002,Mei Mensah,Bedside Nurse
SH-000015,2016-01-09,Day (07-19),RN-030,Tom Nguyen,Charge Nurse
SH-000015,2016-01-09,Day (07-19),RN-023,Sam Okafor,Bedside Nurse
SH-000016,2016-01-09,Night (19-07),RN-040,Hana Meyer,Charge Nurse
SH-000016,2016-01-09,Night (19-07),RN-001,Diego Costa,Bedside Nurse
SH-000017,2016-01-10,Day (07-19),RN-027,Maya Okafor,Charge Nurse
SH-000017,2016-01-10,Day (07-19),RN-033,Sam Adeyemi,Bedside Nurse
SH-000018,2016-01-10,Night (19-07),RN-037,Diego Meyer,Charge Nurse
SH-000018,2016-01-10,Night (19-07),RN-018,Omar Ivanov,Bedside Nurse
SH-000019,2016-01-11,Day (07-19),RN-016,Ivan Adeyemi,Charge Nurse
SH-000019,2016-01-11,Day (07-19),RN-001,Diego Costa,Bedside Nurse
SH-000020,2016-01-11,Night (19-07),RN-026,Jack Silva,Charge Nurse
SH-000020,2016-01-11,Night (19-07),RN-010,Priya Park,Bedside Nurse
SH-000021,2016-01-12,Day (07-19),RN-024,Priya Okafor,Charge Nurse
SH-000021,2016-01-12,Day (07-19),RN-008,Leo Sharma,Bedside Nurse
SH-000021,2016-01-12,Day (07-19),RN-031,Diego Khan,Bedside Nurse
SH-000022,2016-01-12,Night (19-07),RN-007,Sam Khan,Charge Nurse
SH-000022,2016-01-12,Night (19-07),RN-041,Yara Okafor,Bedside Nurse
SH-000022,2016-01-12,Night (19-07),RN-014,Sofia Mensah,Bedside Nurse
SH-000023,2016-01-13,Day (07-19),RN-035,Maya Costa,Charge Nurse
SH-000023,2016-01-13,Day (07-19),RN-022,Diego Bauer,Bedside Nurse
SH-000023,2016-01-13,Day (07-19),RN-015,Leo Adeyemi,Bedside Nurse
SH-000024,2016-01-13,Night (19-07),RN-006,Mei Sharma,Charge Nurse
SH-000024,2016-01-13,Night (19-07),RN-036,Ana Bauer,Bedside Nurse
SH-000024,2016-01-13,Night (19-07),RN-013,Mei Meyer,Bedside Nurse
SH-000025,2016-01-14,Day (07-19),RN-007,Sam Khan,Charge Nurse
SH-000025,2016-01-14,Day (07-19),RN-037,Diego Meyer,Bedside Nurse
SH-000025,2016-01-14,Day (07-19),RN-027,Maya Okafor,Bedside Nurse
SH-000026,2016-01-14,Night (19-07),RN-036,Ana Bauer,Charge Nurse
SH-000026,2016-01-14,Night (19-07),RN-035,Maya Costa,Bedside Nurse
SH-000026,2016-01-14,Night (19-07),RN-023,Sam Okafor,Bedside Nurse
SH-000027,2016-01-15,Day (07-19),RN-013,Mei Meyer,Charge Nurse
SH-000027,2016-01-15,Day (07-19),RN-011,Mei Okafor,Bedside Nurse
SH-000027,2016-01-15,Day (07-19),RN-009,Amara Bauer,Bedside Nurse
SH-000028,2016-01-15,Night (19-07),RN-003,Tom Dubois,Charge Nurse
