nurse_id,full_name,credential,specialty,years_experience,hire_date,employment
RN-001,Diego Costa,RN,Feeder-Grower,11,2015-11-11,Full-time
RN-002,Mei Mensah,"RN, NNP",Feeder-Grower,5,2009-09-26,Full-time
RN-003,Tom Dubois,"RN, NNP",Neonatal Intensive Care,14,2011-03-03,Part-time
RN-004,Sara Adeyemi,"RN, NNP",Special Care Nursery,2,2010-08-12,Full-time
RN-005,Zara Sharma,"RN, BSN",Neonatal Intensive Care,1,2007-02-24,Part-time
RN-006,Mei Sharma,"RN, NNP",Neonatal Intensive Care,2,2006-01-23,Full-time
RN-007,Sam Khan,"RN, MSN",Special Care Nursery,12,2006-04-28,Part-time
RN-008,Leo Sharma,"RN, MSN",Neonatal Intensive Care,23,2006-12-29,Full-time
RN-009,Amara Bauer,"RN, MSN",Feeder-Grower,4,2014-03-21,Part-time
RN-010,Priya Park,RN,Special Care Nursery,10,2015-12-29,Part-time
RN-011,Mei Okafor,"RN, BSN",Neonatal Intensive Care,20,2011-03-23,Full-time
RN-012,Zara Okafor,"RN, BSN",Feeder-Grower,22,2010-09-19,Full-time
RN-013,Mei Meyer,"RN, MSN",Feeder-Grower,13,2010-03-01,Full-time
RN-014,Sofia Mensah,"RN, MSN",Special Care Nursery,15,2014-06-22,Full-time
RN-015,Leo Adeyemi,"RN, NNP",Feeder-Grower,21,2012-04-11,Part-time
RN-016,Ivan Adeyemi,"RN, MSN",Feeder-Grower,22,2014-04-01,Part-time
RN-017,Sam Meyer,"RN, BSN",Feeder-Grower,18,2014-02-07,Part-time
RN-018,Omar Ivanov,RN,Feeder-Grower,24,2008-07-08,Part-time
RN-019,Sam Costa,"RN, MSN",Special Care Nursery,7,2011-11-08,Part-time
RN-020,Ana Silva,"RN, MSN",Neonatal Intensive Care,22,2007-11-17,Full-time
RN-021,Ben Rossi,RN,Neonatal Intensive Care,1,2014-07-15,Full-time
RN-022,Diego Bauer,RN,Neonatal Intensive Care,9,2012-02-06,Part-time
RN-023,Sam Okafor,"RN, MSN",Special Care Nursery,15,2007-11-01,Full-time
RN-024,Priya Okafor,RN,Special Care Nursery,24,2013-01-10,Part-time
RN-025,Lena Meyer,"RN, BSN",Neonatal Intensive Care,19,2006-12-29,Full-time
RN-026,Jack Silva,"RN, NNP",Special Care Nursery,16,2010-02-23,Part-time
RN-027,Maya Okafor,"RN, MSN",Neonatal Intensive Care,25,2007-03-19,Full-time
RN-028,Kofi Mensah,"RN, BSN",Special Care Nursery,12,2010-12-12,Part-time
RN-029,Omar Adeyemi,"RN, MSN",Special Care Nursery,4,2011-01-29,Full-time
RN-030,Tom Nguyen,"RN, BSN",Special Care Nursery,19,2012-03-08,Part-time
RN-031,Diego Khan,"RN, MSN",Special Care Nursery,5,2011-08-04,Part-time
RN-032,Priya Khan,"RN, BSN",Feeder-Grower,19,2015-05-05,Full-time
RN-033,Sam Adeyemi,"RN, BSN",Special Care Nursery,11,2012-09-08,Full-time
RN-034,Priya Rossi,"RN, NNP",Special Care Nursery,12,2014-09-29,Full-time
RN-035,Maya Costa,"RN, NNP",Neonatal Intensive Care,14,2006-05-06,Full-time
RN-036,Ana Bauer,RN,Special Care Nursery,7,2009-04-27,Full-time
RN-037,Diego Meyer,RN,Neonatal Intensive Care,19,2012-03-26,Full-time
RN-038,Lena Rossi,"RN, MSN",Special Care Nursery,19,2009-05-27,Part-time
RN-039,Grace Dubois,RN,Special Care Nursery,21,2008-11-21,Part-time
RN-040,Hana Meyer,"RN, NNP",Special Care Nursery,1,2014-12-19,Full-time
RN-041,Yara Okafor,RN,Feeder-Grower,4,2006-12-29,Part-time
RN-042,Priya Mensah,"RN, BSN",Feeder-Grower,10,2012-12-07,Full-time
